content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c21,s1,0.006512;0.006258;0.006434;0.006191;0.007014;0.006774;0.006189;0.006165;0.007905;0.006708;0.006679;0.006554;0.006550;0.006781;0.006335;0.006248,----,0.389244;0.259254;0.474306;0.106321;0.878446;0.476307;0.000000;0.320674;1.000000;0.593203;0.001005;0.406240;0.296557;0.492655;0.321431;0.030777
c21,s10,0.004866;0.004273;0.004830;0.005338;0.004748;0.004264;0.004463;0.004953;0.005451;0.004353;0.004723;0.004917;0.005000;0.004652;0.004928;0.004789,----,0.825954;0.469784;0.573262;0.961103;0.809043;0.148797;0.385019;0.831358;1.000000;0.000000;0.159618;0.603400;0.535882;0.403366;0.249720;0.138979
c21,s11,0.003187;0.003394;0.003331;0.003489;0.003760;0.003717;0.003933;0.003436;0.003707;0.003486;0.003382;0.003462;0.003680;0.003381;0.003354;0.003310,----,0.613619;0.661749;0.642141;0.762214;1.000000;0.465477;0.712713;0.618743;0.788397;0.097673;0.024241;0.538902;0.548387;0.429754;0.551166;0.000000
c21,s12,0.008489;0.008351;0.008684;0.008960;0.008568;0.008655;0.008728;0.008450;0.008460;0.008643;0.008288;0.008624;0.008366;0.007985;0.008632;0.008556,----,0.832835;0.691597;0.767878;1.000000;0.766539;0.102369;0.620788;0.702307;0.748478;0.215391;0.000000;0.669341;0.582978;0.556034;0.752121;0.621643
c21,s13,0.008838;0.008765;0.008370;0.008286;0.008748;0.008911;0.008493;0.008445;0.008967;0.009069;0.008980;0.008738;0.008904;0.009152;0.009475;0.009247,----,0.985757;0.874802;0.410643;0.348301;0.738745;0.298474;0.000000;0.306075;1.000000;0.409454;0.057132;0.839733;0.525522;0.647806;0.600428;0.470319
c21,s14,0.005301;0.005219;0.005322;0.005331;0.005328;0.005430;0.005073;0.005356;0.005555;0.005225;0.005109;0.005170;0.005298;0.005707;0.005353;0.005251,----,0.697581;0.584851;0.870674;1.000000;0.815789;0.586736;0.302234;0.891385;0.794748;0.218637;0.000000;0.649305;0.806168;0.966787;0.681186;0.477564
c21,s15,0.005674;0.005482;0.005569;0.005595;0.006346;0.005252;0.005807;0.005876;0.005920;0.005729;0.005837;0.005752;0.005484;0.005673;0.005537;0.005479,----,0.596873;0.648576;0.601754;0.427716;1.000000;0.406577;0.640034;0.663230;0.696414;0.628517;0.224876;0.486461;0.226099;0.515022;0.465251;0.000000
c21,s16,0.005483;0.005900;0.005694;0.005677;0.005389;0.005379;0.005653;0.005928;0.005350;0.006792;0.005695;0.005387;0.005889;0.005505;0.005147;0.005500,----,0.656657;0.602560;0.877581;0.790096;0.612386;0.000000;0.135994;1.000000;0.572797;0.603819;0.434000;0.509341;0.836443;0.622041;0.432898;0.570429
c21,s17,0.004289;0.004182;0.004360;0.004116;0.004431;0.004565;0.004431;0.004357;0.004014;0.003721;0.004255;0.004921;0.004152;0.004107;0.004060;0.004289,----,0.871059;0.605683;0.919824;0.939828;1.000000;0.350315;0.538817;0.853337;0.731884;0.000000;0.432048;0.864032;0.953669;0.895342;0.908931;0.949409
c21,s18,0.007020;0.005987;0.006001;0.006554;0.006083;0.006113;0.006554;0.006214;0.005993;0.006963;0.006798;0.006424;0.006585;0.005718;0.007308;0.007964,----,1.000000;0.469928;0.257503;0.672792;0.486133;0.258467;0.168494;0.550668;0.226237;0.298259;0.390021;0.421907;0.388780;0.000000;0.756666;0.956828
